key,description,en,ru
landing-questions-idx0-text,,Anyx is advanced launchpad platform. We make the process of raising capital in crypto easy and accessible by anyone. People can invest using USDT BTC BNB ETH SOL TRX and many more options.,Anyx - это современная платформа для старта продаж токенов.  Инвесторы могут использовать USDT BTC BNB ETH SOL TRX и другие криптовалюты как средство платежа.
landing-questions-idx1-title,,How do I invest in a project on your platform?,Как инвестировать в проект через вашу платформу?
landing-questions-idx1-text,,Select a project that you find attractive chose your crypto of choise deposit funds and wait till you recieve the tokens. If you don't have a wallet to store your tokens we may create the wallet for you but you will have to manage it yourself.,Выберите подходящий проект опеределитесь с удобной криптовалютой сделайте покупку и ожидайте поступления токенов на ваш кошелёк. Если у вас нет кошелька мы поможем его создать.
landing-questions-idx2-title,,What tokens can be listed on Anyx?,Токены в каких сетях можно продать на Anyx?
landing-questions-idx2-text,,We support any token network including on Binance Smart Chain Ethereum Solana Tron or and other network.,Мы поддерживаем токены во всех сетях: Binance Smart Chain Ethereum Solana Tron Polygon а так же на любых других блокчейнах
landing-questions-idx3-title,,What are your furutre plans?,Какие у вас планы на развитие проекта?
landing-questions-idx3-text,,First we aim to become №1 launchpad platform after which we will be expanding into one of the greatest multi-service platforms in the industry. We will be presenting our marketplace for NFTs as well as any other products and services we will be providing our own API / data solutions for the institutional market participants and many more.,Сначала мы нацелены стать №1 платформой для запуска токенов после чего мы перерастём в одну из лучших мульти-сервисных платформ в индустрии. Вскоре мы презентуем наш NFT маркетплейс API / data решения для институциональных участников рынка.
landing-questions-idx4-title,,How do I join the team?,Как присоединиться к команде?
landing-questions-idx4-text,,We are actively looking for developers business managers analysts community managers and many more. If you think you are the right candidate please reach out to us via any contact form you can find on our webpage.,Мы активно расширяем штат и ищем разработчиков аналитиков руководителя по развитию бизнеса и т.д. Если вы считаете что подходите - свяжитесь с нами любым удобным способом.
landing-questions-idx5-title,,Can I invest into Anyx?,Как инвестировать в Anyx?
landing-questions-idx5-text,,Sure you are welcome to participate in our pre-seed round here.,Вы можете поучавствовать в pre-seed раунде по ссылке.
landing-questions-idx5-link-text,,here,ссылке

page-dashboard-title-early-access,, Get early access to the ideas of tomorrow, Получите ранний доступ к идеям завтрашнего дня
page-dashboard-day,,Per day, В день
page-dashboard-paragraph-past,,Past You are not distracted by unnecessary things. Do the best, Прошлое Вас не отвлекают ненужные вещи. Сделай лучшее

header-connect-wallet,, Connect Wallet, Подключить кошелек
